,CPU,GPU,Numpy,Numba Parallel,JIT Parallel,JIT CUDA
2,71619.1516972884,158.450761556859,7772.728115074,5537.1227002936,1232.61315620726,548.803318645556
4,30770.4947944528,155.77730733519,7329.50899085376,3516.96744771779,5560.37997544199,608.289711368281
8,7233.68526301601,173.857014593223,7611.60809709283,2891.71723890475,6771.13829239854,694.295890463713
16,1931.05608732851,173.934346970189,5899.74747224015,2219.09526526632,3792.79126909885,645.286702296364
32,459.667069649884,170.932754054999,3234.2066534479,2206.62064907777,4014.59871022673,618.157603300694
64,103.745775880892,167.114319396821,1271.29194229493,1731.41768508474,2069.35438389469,385.646573552003
128,29.2041776911294,145.545407887244,355.25775467975,1039.92274106738,783.481075046764,265.282025199641
256,7.2403014407203,88.2218919146311,82.0683883016998,279.897065500499,161.186940800391,103.014498923428
512,1.77206317168431,26.2394689828665,16.6084681022687,56.6980544666161,27.1488064620193,30.0259506405207
